,DateTime,Vehicles
1,11/1/2015,2036
2,11/2/2015,2349
3,11/3/2015,2351
4,11/4/2015,2258
5,11/5/2015,2210
6,11/6/2015,2186
7,11/7/2015,2009
8,11/8/2015,2031
9,11/9/2015,2212
10,11/10/2015,2486
11,11/11/2015,2289
12,11/12/2015,2383
13,11/13/2015,2279
14,11/14/2015,2046
15,11/15/2015,2018
16,11/16/2015,2265
17,11/17/2015,2416
18,11/18/2015,2700
19,11/19/2015,2721
20,11/20/2015,2636
21,11/21/2015,2287
22,11/22/2015,2294
23,11/23/2015,2481
24,11/24/2015,2370
25,11/25/2015,2280
26,11/26/2015,2352
27,11/27/2015,2277
28,11/28/2015,2176
29,11/29/2015,2170
30,11/30/2015,2361
31,12/1/2015,2338
32,12/2/2015,2428
33,12/3/2015,2316
34,12/4/2015,2280
35,12/5/2015,2039
36,12/6/2015,2028
37,12/7/2015,2266
38,12/8/2015,2263
39,12/9/2015,2311
40,12/10/2015,2261
41,12/11/2015,2267
42,12/12/2015,2055
43,12/13/2015,2085
44,12/14/2015,2307
45,12/15/2015,2354
46,12/16/2015,2377
47,12/17/2015,2371
48,12/18/2015,2658
49,12/19/2015,2116
50,12/20/2015,2107
51,12/21/2015,2320
52,12/22/2015,2319
53,12/23/2015,2276
54,12/24/2015,2201
55,12/25/2015,1978
56,12/26/2015,2023
57,12/27/2015,2038
58,12/28/2015,2266
59,12/29/2015,2302
60,12/30/2015,2371
61,12/31/2015,2142
62,1/1/2016,1971
63,1/2/2016,2053
64,1/3/2016,2083
65,1/4/2016,2431
66,1/5/2016,2429
67,1/6/2016,2439
68,1/7/2016,2383
69,1/8/2016,2461
70,1/9/2016,2130
71,1/10/2016,2072
72,1/11/2016,2403
73,1/12/2016,2403
74,1/13/2016,2400
75,1/14/2016,2318
76,1/15/2016,2429
77,1/16/2016,2209
78,1/17/2016,2171
79,1/18/2016,2554
80,1/19/2016,2675
81,1/20/2016,2600
82,1/21/2016,2561
83,1/22/2016,2737
84,1/23/2016,2330
85,1/24/2016,2277
86,1/25/2016,2635
87,1/26/2016,2513
88,1/27/2016,2776
89,1/28/2016,2872
90,1/29/2016,2948
91,1/30/2016,2603
92,1/31/2016,2575
93,2/1/2016,2833
94,2/2/2016,2719
95,2/3/2016,2894
96,2/4/2016,2723
97,2/5/2016,2719
98,2/6/2016,2679
99,2/7/2016,2389
100,2/8/2016,2637
101,2/9/2016,2719
102,2/10/2016,2645
103,2/11/2016,2642
104,2/12/2016,2691
105,2/13/2016,2375
106,2/14/2016,2249
107,2/15/2016,2691
108,2/16/2016,2749
109,2/17/2016,2771
110,2/18/2016,2776
111,2/19/2016,2656
112,2/20/2016,2440
113,2/21/2016,2392
114,2/22/2016,2742
115,2/23/2016,3014
116,2/24/2016,2969
117,2/25/2016,2813
118,2/26/2016,3124
119,2/27/2016,2610
120,2/28/2016,2564
121,2/29/2016,3126
122,3/1/2016,3068
123,3/2/2016,3044
124,3/3/2016,3032
125,3/4/2016,2931
126,3/5/2016,2831
127,3/6/2016,2440
128,3/7/2016,2680
129,3/8/2016,2772
130,3/9/2016,2760
131,3/10/2016,2932
132,3/11/2016,2783
133,3/12/2016,2733
134,3/13/2016,2448
135,3/14/2016,2848
136,3/15/2016,2824
137,3/16/2016,2823
138,3/17/2016,2745
139,3/18/2016,2679
140,3/19/2016,2385
141,3/20/2016,2447
142,3/21/2016,2812
143,3/22/2016,2713
144,3/23/2016,2695
145,3/24/2016,2522
146,3/25/2016,2443
147,3/26/2016,2274
148,3/27/2016,2236
149,3/28/2016,2583
150,3/29/2016,2758
151,3/30/2016,2810
152,3/31/2016,2678
153,4/1/2016,2675
154,4/2/2016,2386
155,4/3/2016,2342
156,4/4/2016,2809
157,4/5/2016,2844
158,4/6/2016,2826
159,4/7/2016,2966
160,4/8/2016,2680
161,4/9/2016,2684
162,4/10/2016,2473
163,4/11/2016,2839
164,4/12/2016,3228
165,4/13/2016,2932
166,4/14/2016,2817
167,4/15/2016,2768
168,4/16/2016,2411
169,4/17/2016,2470
170,4/18/2016,2938
171,4/19/2016,2990
172,4/20/2016,3118
173,4/21/2016,3011
174,4/22/2016,2915
175,4/23/2016,3110
176,4/24/2016,2902
177,4/25/2016,3161
178,4/26/2016,2939
179,4/27/2016,2872
180,4/28/2016,3055
181,4/29/2016,3167
182,4/30/2016,2686
183,5/1/2016,2741
184,5/2/2016,2960
185,5/3/2016,2995
186,5/4/2016,2874
187,5/5/2016,2824
188,5/6/2016,2933
189,5/7/2016,2447
190,5/8/2016,2541
191,5/9/2016,3009
192,5/10/2016,3012
193,5/11/2016,2944
194,5/12/2016,2992
195,5/13/2016,2966
196,5/14/2016,2629
197,5/15/2016,2540
198,5/16/2016,3007
199,5/17/2016,3007
200,5/18/2016,2896
201,5/19/2016,3029
202,5/20/2016,2970
203,5/21/2016,2667
204,5/22/2016,2452
205,5/23/2016,2962
206,5/24/2016,2999
207,5/25/2016,2938
208,5/26/2016,2921
209,5/27/2016,2842
210,5/28/2016,2761
211,5/29/2016,2575
212,5/30/2016,2939
213,5/31/2016,2909
214,6/1/2016,2861
215,6/2/2016,2921
216,6/3/2016,2818
217,6/4/2016,2393
218,6/5/2016,2374
219,6/6/2016,2884
220,6/7/2016,2934
221,6/8/2016,2976
222,6/9/2016,2881
223,6/10/2016,2750
224,6/11/2016,2397
225,6/12/2016,2360
226,6/13/2016,2891
227,6/14/2016,2899
228,6/15/2016,2928
229,6/16/2016,3024
230,6/17/2016,2918
231,6/18/2016,2550
232,6/19/2016,2422
233,6/20/2016,2991
234,6/21/2016,3065
235,6/22/2016,3003
236,6/23/2016,2977
237,6/24/2016,2824
238,6/25/2016,2452
239,6/26/2016,2437
240,6/27/2016,2906
241,6/28/2016,3038
242,6/29/2016,3128
243,6/30/2016,3000
244,7/1/2016,2977
245,7/2/2016,2472
246,7/3/2016,2378
247,7/4/2016,2878
248,7/5/2016,2941
249,7/6/2016,2892
250,7/7/2016,2889
251,7/8/2016,2854
252,7/9/2016,2696
253,7/10/2016,2473
254,7/11/2016,3099
255,7/12/2016,3082
256,7/13/2016,3030
257,7/14/2016,3113
258,7/15/2016,3446
259,7/16/2016,3244
260,7/17/2016,2692
261,7/18/2016,3150
262,7/19/2016,3189
263,7/20/2016,3285
264,7/21/2016,3573
265,7/22/2016,3439
266,7/23/2016,3407
267,7/24/2016,3132
268,7/25/2016,3386
269,7/26/2016,3215
270,7/27/2016,3111
271,7/28/2016,3219
272,7/29/2016,2989
273,7/30/2016,2610
274,7/31/2016,2521
275,8/1/2016,3101
276,8/2/2016,3273
277,8/3/2016,3258
278,8/4/2016,2878
279,8/5/2016,2720
280,8/6/2016,2457
281,8/7/2016,2472
282,8/8/2016,3176
283,8/9/2016,3175
284,8/10/2016,3238
285,8/11/2016,3269
286,8/12/2016,3166
287,8/13/2016,2556
288,8/14/2016,2509
289,8/15/2016,2780
290,8/16/2016,3159
291,8/17/2016,3117
292,8/18/2016,3083
293,8/19/2016,2976
294,8/20/2016,2639
295,8/21/2016,2572
296,8/22/2016,3208
297,8/23/2016,3308
298,8/24/2016,3389
299,8/25/2016,3226
300,8/26/2016,3201
301,8/27/2016,2937
302,8/28/2016,2988
303,8/29/2016,3337
304,8/30/2016,3206
305,8/31/2016,3228
306,9/1/2016,3361
307,9/2/2016,3256
308,9/3/2016,2655
309,9/4/2016,2624
310,9/5/2016,2886
311,9/6/2016,3307
312,9/7/2016,3337
313,9/8/2016,3247
314,9/9/2016,3425
315,9/10/2016,2878
316,9/11/2016,3003
317,9/12/2016,3420
318,9/13/2016,3295
319,9/14/2016,3205
320,9/15/2016,3145
321,9/16/2016,3343
322,9/17/2016,3000
323,9/18/2016,2872
324,9/19/2016,3445
325,9/20/2016,3505
326,9/21/2016,3592
327,9/22/2016,3507
328,9/23/2016,3577
329,9/24/2016,3353
330,9/25/2016,3249
331,9/26/2016,3716
332,9/27/2016,3597
333,9/28/2016,3666
334,9/29/2016,3525
335,9/30/2016,3602
336,10/1/2016,2977
337,10/2/2016,3015
338,10/3/2016,3515
339,10/4/2016,3568
340,10/5/2016,3409
341,10/6/2016,3381
342,10/7/2016,3199
343,10/8/2016,2774
344,10/9/2016,2788
345,10/10/2016,3357
346,10/11/2016,3233
347,10/12/2016,3409
348,10/13/2016,3512
349,10/14/2016,3602
350,10/15/2016,3210
351,10/16/2016,2887
352,10/17/2016,3595
353,10/18/2016,3619
354,10/19/2016,3942
355,10/20/2016,3828
356,10/21/2016,3907
357,10/22/2016,3299
358,10/23/2016,3180
359,10/24/2016,3664
360,10/25/2016,3580
361,10/26/2016,3625
362,10/27/2016,3663
363,10/28/2016,3438
364,10/29/2016,2794
365,10/30/2016,2683
366,10/31/2016,3249
367,11/1/2016,3392
368,11/2/2016,3475
369,11/3/2016,3530
370,11/4/2016,3386
371,11/5/2016,2926
372,11/6/2016,2931
373,11/7/2016,3610
374,11/8/2016,3578
375,11/9/2016,3293
376,11/10/2016,3457
377,11/11/2016,3255
378,11/12/2016,2754
379,11/13/2016,2764
380,11/14/2016,3486
381,11/15/2016,3620
382,11/16/2016,3658
383,11/17/2016,3691
384,11/18/2016,3571
385,11/19/2016,3239
386,11/20/2016,3017
387,11/21/2016,3605
388,11/22/2016,3591
389,11/23/2016,3686
390,11/24/2016,3590
391,11/25/2016,3313
392,11/26/2016,3277
393,11/27/2016,2992
394,11/28/2016,3663
395,11/29/2016,3753
396,11/30/2016,3756
397,12/1/2016,3745
398,12/2/2016,3826
399,12/3/2016,3420
400,12/4/2016,3049
401,12/5/2016,3734
402,12/6/2016,3734
403,12/7/2016,3801
404,12/8/2016,3691
405,12/9/2016,3608
406,12/10/2016,3101
407,12/11/2016,2929
408,12/12/2016,3493
409,12/13/2016,3635
410,12/14/2016,3813
411,12/15/2016,3862
412,12/16/2016,3491
413,12/17/2016,3213
414,12/18/2016,3094
415,12/19/2016,3660
416,12/20/2016,3575
417,12/21/2016,3611
418,12/22/2016,3391
419,12/23/2016,3080
420,12/24/2016,2687
421,12/25/2016,2536
422,12/26/2016,3097
423,12/27/2016,3230
424,12/28/2016,3250
425,12/29/2016,3313
426,12/30/2016,3144
427,12/31/2016,2659
428,1/1/2017,2984
429,1/2/2017,3886
430,1/3/2017,4384
431,1/4/2017,4548
432,1/5/2017,4542
433,1/6/2017,4280
434,1/7/2017,4108
435,1/8/2017,4043
436,1/9/2017,4756
437,1/10/2017,4593
438,1/11/2017,4468
439,1/12/2017,4430
440,1/13/2017,4192
441,1/14/2017,3644
442,1/15/2017,3833
443,1/16/2017,4684
444,1/17/2017,4655
445,1/18/2017,4591
446,1/19/2017,4489
447,1/20/2017,4315
448,1/21/2017,3799
449,1/22/2017,3659
450,1/23/2017,4503
451,1/24/2017,4584
452,1/25/2017,4372
453,1/26/2017,4031
454,1/27/2017,4215
455,1/28/2017,3816
456,1/29/2017,3631
457,1/30/2017,4756
458,1/31/2017,4668
459,2/1/2017,4512
460,2/2/2017,4741
461,2/3/2017,4434
462,2/4/2017,4093
463,2/5/2017,3940
464,2/6/2017,4625
465,2/7/2017,4617
466,2/8/2017,4517
467,2/9/2017,4773
468,2/10/2017,4800
469,2/11/2017,3903
470,2/12/2017,3692
471,2/13/2017,4963
472,2/14/2017,4434
473,2/15/2017,4521
474,2/16/2017,4461
475,2/17/2017,4310
476,2/18/2017,3978
477,2/19/2017,3985
478,2/20/2017,4973
479,2/21/2017,4859
480,2/22/2017,4793
481,2/23/2017,5812
482,2/24/2017,5076
483,2/25/2017,4409
484,2/26/2017,4024
485,2/27/2017,4716
486,2/28/2017,4876
